Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.50mm,1,16V 47uF,
C2,CP_Radial_D5.0mm_P2.50mm,1,10V 1uF,
"C3, C5",C_Disc_D3.0mm_W1.6mm_P2.50mm,2,100nF,
C4,CP_Radial_D5.0mm_P2.50mm,1,10uF,
D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5817,
J1,EDGE ZX81 BOTTOM,1,Connector ZX81,
J2,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm,1,Joystick Connector,
J3,ZX Video1,1,Video Connector,
J4,adafruit-MAX98357,1,Audio Connector,
J5,EDGE ZX81 90_copy,1,Cartridge Slot,
J6,PJ-307,1,AudioJack3,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,270R,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,470R,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,100KOhm,
SW1,SW_PUSH_6mm_H5mm,1,SW_Push,
U1,P2350Pico2XL,1,Pico 2 XL,
U2,M,1,MCP23009-E_P,mcp23009-E/p
