Designator,Mid X,Mid Y,Rotation,Layer
C1,60.2949,-158.0,0.0,top
C2,60.2949,-145.25,0.0,top
C3,66.25,-146.25,90.0,top
C4,60.2949,-151.25,0.0,top
C5,66.25,-151.75,90.0,top
D1,72.75,-150.17,90.0,top
J1,99.909982,-180.5,0.0,top
J2,127.76,-130.2853,180.0,top
J3,102.75,-122.1735,180.0,top
J4,82.95,-125.977,0.0,bottom
J5,100.93,-138.5,0.0,top
J6,64.0,-121.825,270.0,top
R1,66.5,-163.58,90.0,top
R2,72.75,-163.58,90.0,top
R3,69.0,-137.08,90.0,top
SW1,136.75,-175.5,0.0,top
U1,103.75,-160.84,270.0,top
U2,123.83,-140.19,90.0,bottom
